iter	Accuracy	Logloss
0	0.8188202247	0.6863282565
1	0.8342696629	0.679087156
2	0.8314606742	0.6729735285
3	0.8398876404	0.6671288194
4	0.8398876404	0.6611265
5	0.8314606742	0.6552542107
6	0.8314606742	0.6486642866
7	0.8370786517	0.6425681183
8	0.8370786517	0.6361774567
9	0.8356741573	0.6306591716
10	0.8356741573	0.6254057081
11	0.8384831461	0.6200401572
12	0.8356741573	0.6152590977
13	0.8356741573	0.6102231534
14	0.8342696629	0.6055223371
15	0.8300561798	0.6016428114
16	0.8300561798	0.5969788882
17	0.8342696629	0.5924902851
18	0.8370786517	0.588161847
19	0.8370786517	0.5839971763
20	0.8370786517	0.5800072479
21	0.8370786517	0.5761109405
22	0.8370786517	0.5716425306
23	0.8370786517	0.5675218456
24	0.8356741573	0.5640857139
25	0.8356741573	0.5603691131
26	0.8342696629	0.556375837
27	0.8342696629	0.5525151865
28	0.8342696629	0.549137183
29	0.8342696629	0.545666011
30	0.8356741573	0.542212593
31	0.8370786517	0.5386117309
32	0.8370786517	0.5358150216
33	0.8398876404	0.5326125685
34	0.8398876404	0.5296663845
35	0.8370786517	0.5270062492
36	0.8370786517	0.5246634201
37	0.8370786517	0.5216777166
38	0.8370786517	0.5188339701
39	0.8384831461	0.5161605683
40	0.8384831461	0.5136320839
41	0.8398876404	0.5111200596
42	0.8398876404	0.5083468588
43	0.8398876404	0.5064633212
44	0.8398876404	0.5043475513
45	0.8370786517	0.5020334575
46	0.8370786517	0.5001793044
47	0.8384831461	0.4978814504
48	0.8384831461	0.4958160431
49	0.8356741573	0.4946597963
50	0.8356741573	0.4927457901
51	0.8356741573	0.4907639418
52	0.8356741573	0.4885191051
53	0.8370786517	0.4862526466
54	0.8370786517	0.4839629249
55	0.8370786517	0.4824709502
56	0.8356741573	0.4804319125
57	0.8370786517	0.4783379856
58	0.8384831461	0.4762135719
59	0.8384831461	0.4746963088
60	0.8384831461	0.4731385083
61	0.8384831461	0.4714635939
62	0.8398876404	0.4696339185
63	0.8398876404	0.467708379
64	0.8398876404	0.4661005078
65	0.8398876404	0.4652944468
66	0.8398876404	0.4638795449
67	0.8398876404	0.4623061434
68	0.8398876404	0.4604873351
69	0.8398876404	0.4592099103
70	0.8398876404	0.4575858107
71	0.8398876404	0.4560733849
72	0.8398876404	0.4548518592
73	0.8384831461	0.4539128228
74	0.8398876404	0.4524067665
75	0.8398876404	0.450959995
76	0.8398876404	0.4503688342
77	0.8398876404	0.4498019432
78	0.8384831461	0.4489623662
79	0.8370786517	0.4482492309
80	0.8384831461	0.4469209038
81	0.8398876404	0.4458979078
82	0.8384831461	0.4449607746
83	0.8370786517	0.4444626809
84	0.8384831461	0.4432578738
85	0.8370786517	0.4421194326
86	0.8370786517	0.4417019338
87	0.8384831461	0.4404175392
88	0.8370786517	0.4397795768
89	0.8384831461	0.4387205189
90	0.8384831461	0.4383069056
91	0.8384831461	0.4371884217
92	0.8370786517	0.4367228103
93	0.8370786517	0.4362096689
94	0.8370786517	0.4353250957
95	0.8384831461	0.4342139267
96	0.8412921348	0.4329633268
97	0.8412921348	0.4320271641
98	0.8412921348	0.43072018
99	0.8412921348	0.4298667457
100	0.8412921348	0.4287169025
101	0.8412921348	0.42798553
102	0.8412921348	0.4268205301
103	0.8426966292	0.4259793695
104	0.8412921348	0.4251741528
105	0.8426966292	0.424549735
106	0.8426966292	0.4238856942
107	0.8426966292	0.423210618
108	0.8426966292	0.4224190681
109	0.8426966292	0.4216090863
110	0.8426966292	0.4206143338
111	0.8426966292	0.4200965204
112	0.8426966292	0.4194911163
113	0.8426966292	0.4191914467
114	0.8426966292	0.4183861655
115	0.8426966292	0.4175765784
116	0.8426966292	0.4173093022
117	0.8426966292	0.4170476999
118	0.8426966292	0.4165655512
119	0.8426966292	0.4162662338
120	0.8426966292	0.4158063047
121	0.8426966292	0.415298919
122	0.8426966292	0.4150908154
123	0.8426966292	0.4145565181
124	0.8426966292	0.4135197601
125	0.8426966292	0.412580408
126	0.8426966292	0.4118794876
127	0.8426966292	0.411521444
128	0.8426966292	0.4111556277
129	0.8426966292	0.4104912586
130	0.8426966292	0.4102952384
131	0.8426966292	0.4098236299
132	0.8426966292	0.409422634
133	0.8426966292	0.4086738137
134	0.8426966292	0.4081028987
135	0.8426966292	0.4077436123
136	0.8426966292	0.4069797774
137	0.8426966292	0.4062119145
138	0.8426966292	0.4056348782
139	0.8426966292	0.4049295424
140	0.8426966292	0.40444266
141	0.8426966292	0.4043080068
142	0.8426966292	0.4038511057
143	0.8426966292	0.4030020032
144	0.8426966292	0.4024906086
145	0.8426966292	0.402310347
146	0.8426966292	0.4020826858
147	0.8426966292	0.4019099399
148	0.8426966292	0.4015132329
149	0.8426966292	0.400897811
150	0.8426966292	0.4005100575
151	0.8426966292	0.4001828221
152	0.8426966292	0.3999771003
153	0.8426966292	0.399705128
154	0.8426966292	0.399173252
155	0.8426966292	0.3988062463
156	0.8426966292	0.3982006049
157	0.8426966292	0.397809319
158	0.8426966292	0.3973807244
159	0.8426966292	0.3968780391
160	0.8426966292	0.3965516834
161	0.8426966292	0.3961024101
162	0.8426966292	0.3956982119
163	0.8426966292	0.3951092984
164	0.8426966292	0.3949795043
165	0.8426966292	0.3946329063
166	0.8426966292	0.3944459823
167	0.8426966292	0.3944230456
168	0.8426966292	0.3942665542
169	0.8426966292	0.3941812005
170	0.8426966292	0.3936809936
171	0.8426966292	0.393462758
172	0.8426966292	0.3930087999
173	0.8426966292	0.3928522738
174	0.8426966292	0.3924720273
175	0.8426966292	0.3922433434
176	0.8426966292	0.3918278637
177	0.8426966292	0.3915054087
178	0.8426966292	0.3912581124
179	0.8426966292	0.3910970452
180	0.8426966292	0.3906954387
181	0.8426966292	0.3902908196
182	0.8426966292	0.3900361107
183	0.8426966292	0.3899115629
184	0.8426966292	0.3898471517
185	0.8426966292	0.3895395132
186	0.8426966292	0.389326396
187	0.8426966292	0.3889928237
188	0.8426966292	0.3886041166
189	0.8426966292	0.3883832356
190	0.8426966292	0.3883690986
191	0.8426966292	0.3881395336
192	0.8426966292	0.3878545956
193	0.8426966292	0.3875518488
194	0.8426966292	0.3872166197
195	0.8426966292	0.3871802908
196	0.8426966292	0.3869771055
197	0.8426966292	0.3869647835
198	0.8426966292	0.3867171451
199	0.8426966292	0.3864840576
200	0.8426966292	0.3862972851
201	0.8426966292	0.3860097364
202	0.8426966292	0.3855864478
203	0.8426966292	0.3855408559
204	0.8426966292	0.3854989714
205	0.8426966292	0.3853812
206	0.8426966292	0.3853030918
207	0.8426966292	0.3851561996
208	0.8426966292	0.3850142212
209	0.8426966292	0.3849471295
210	0.8426966292	0.3845605972
211	0.8426966292	0.3843090696
212	0.8426966292	0.3841892146
213	0.8426966292	0.3838710199
214	0.8426966292	0.3838423783
215	0.8441011236	0.3833767063
216	0.8441011236	0.3833047532
217	0.845505618	0.3829663052
218	0.845505618	0.3827144135
219	0.845505618	0.3826459694
220	0.845505618	0.3823983319
221	0.845505618	0.381947925
222	0.845505618	0.3818819457
223	0.845505618	0.3817370384
224	0.845505618	0.3815725099
225	0.845505618	0.3813698811
226	0.845505618	0.3812183486
227	0.845505618	0.3812105105
228	0.845505618	0.3810816512
229	0.845505618	0.3808914947
230	0.845505618	0.3805285815
231	0.845505618	0.3802619445
232	0.845505618	0.3801840876
233	0.845505618	0.3798336095
234	0.845505618	0.3796637001
235	0.845505618	0.3794353369
236	0.845505618	0.3794166627
237	0.845505618	0.3790667806
238	0.845505618	0.3789589307
239	0.845505618	0.378931526
240	0.845505618	0.378634216
241	0.845505618	0.3785072636
242	0.845505618	0.3782975516
243	0.845505618	0.3781468925
244	0.845505618	0.3781286508
245	0.845505618	0.3778198925
246	0.845505618	0.3778070683
247	0.8469101124	0.3772231403
248	0.8469101124	0.376884723
249	0.8469101124	0.3767262049
250	0.8469101124	0.376451259
251	0.8469101124	0.3761965322
252	0.8469101124	0.3760523545
253	0.8469101124	0.3758160633
254	0.8469101124	0.3755775142
255	0.8483146067	0.3755228998
256	0.8483146067	0.3755059553
257	0.8483146067	0.3752928714
258	0.8483146067	0.3751045615
259	0.8483146067	0.3747502811
260	0.8483146067	0.3746432552
261	0.8483146067	0.3745683148
262	0.8483146067	0.3744532778
263	0.8483146067	0.3742750825
264	0.8483146067	0.3740198095
265	0.8483146067	0.373951305
266	0.8483146067	0.3739394337
267	0.8483146067	0.3737421546
268	0.8483146067	0.3736294305
269	0.8483146067	0.3734814313
270	0.8483146067	0.3733913075
271	0.8483146067	0.3731720629
272	0.8483146067	0.3729135154
273	0.8483146067	0.3726926313
274	0.8483146067	0.3726393769
275	0.8483146067	0.3724236457
276	0.8483146067	0.3723779408
277	0.8483146067	0.3722830897
278	0.8483146067	0.3722461532
279	0.8483146067	0.3721039955
280	0.8483146067	0.3719425751
281	0.8483146067	0.3715873835
282	0.8483146067	0.3714556356
283	0.8483146067	0.3710274896
284	0.8483146067	0.3707436804
285	0.8497191011	0.3706394197
286	0.8497191011	0.3706375344
287	0.8497191011	0.3705549762
288	0.8497191011	0.3704380742
289	0.8497191011	0.370354689
290	0.8497191011	0.3702731868
291	0.8483146067	0.3701290017
292	0.8483146067	0.3699808148
293	0.8511235955	0.3697751831
294	0.8511235955	0.3696132227
295	0.8511235955	0.369474107
296	0.8511235955	0.3693603322
297	0.8511235955	0.3691341288
298	0.8511235955	0.3690457855
299	0.8511235955	0.3688127438
300	0.8525280899	0.3685970171
301	0.8525280899	0.3685398768
302	0.8525280899	0.3684762634
303	0.8539325843	0.3682979053
304	0.8539325843	0.3682429551
305	0.8539325843	0.3681445693
306	0.8539325843	0.3679428612
307	0.8539325843	0.3678115802
308	0.8539325843	0.3676123744
309	0.8539325843	0.3675941471
310	0.8539325843	0.3672469972
311	0.8539325843	0.367224493
312	0.8539325843	0.3671659738
313	0.8539325843	0.3669836709
314	0.8539325843	0.3668734194
315	0.8539325843	0.3667952324
316	0.8539325843	0.3667715251
317	0.8539325843	0.3666520538
318	0.8539325843	0.3666009451
319	0.8539325843	0.366527107
320	0.8539325843	0.3664513256
321	0.8539325843	0.3663355494
322	0.8539325843	0.3661518928
323	0.8539325843	0.3661101235
324	0.8539325843	0.3659941115
325	0.8539325843	0.3659504083
326	0.8539325843	0.365899624
327	0.8539325843	0.3658682068
328	0.8539325843	0.3658310515
329	0.8539325843	0.3657120371
330	0.8553370787	0.3653678843
331	0.856741573	0.3652742408
332	0.856741573	0.3651486145
333	0.856741573	0.3650264206
334	0.856741573	0.3649268483
335	0.856741573	0.3648948705
336	0.856741573	0.3648356453
337	0.856741573	0.3648300879
338	0.856741573	0.3647603463
339	0.856741573	0.3646447825
340	0.856741573	0.364483141
341	0.856741573	0.3644248834
342	0.856741573	0.3643652713
343	0.856741573	0.3643290424
344	0.856741573	0.3641327673
345	0.856741573	0.3639890999
346	0.856741573	0.3639671807
347	0.856741573	0.3638403337
348	0.856741573	0.3637552724
349	0.856741573	0.3636408208
350	0.856741573	0.3634341548
351	0.856741573	0.363353418
352	0.856741573	0.3632959422
353	0.856741573	0.3631904955
354	0.856741573	0.362989875
355	0.8553370787	0.3628983668
356	0.8553370787	0.3627147309
357	0.856741573	0.3625598406
358	0.856741573	0.3623974173
359	0.8609550562	0.3622033794
360	0.8609550562	0.3621181804
361	0.8609550562	0.3621015755
362	0.8609550562	0.3620625544
363	0.8609550562	0.3620474386
364	0.8609550562	0.3620317381
365	0.8609550562	0.3617482385
366	0.8609550562	0.3615163404
367	0.8609550562	0.3614268518
368	0.8609550562	0.3614234562
369	0.8609550562	0.3614018567
370	0.8609550562	0.3612981596
371	0.8609550562	0.3612414211
