iter	Passed	Remaining
0	35	35707
1	57	28763
2	85	28265
3	117	29343
4	135	26968
5	152	25259
6	172	24517
7	194	24092
8	216	23828
9	238	23584
10	262	23612
11	279	22985
12	298	22649
13	315	22249
14	334	21954
15	350	21575
16	372	21538
17	393	21486
18	414	21387
19	427	20933
20	446	20821
21	471	20965
22	496	21090
23	525	21369
24	556	21690
25	581	21793
26	606	21859
27	626	21734
28	649	21748
29	675	21832
30	697	21792
31	716	21666
32	732	21467
33	756	21487
34	781	21557
35	801	21475
36	822	21414
37	846	21420
38	871	21485
39	896	21514
40	918	21488
41	941	21473
42	968	21557
43	986	21433
44	1006	21364
45	1034	21444
46	1068	21661
47	1095	21732
48	1125	21836
49	1138	21631
50	1159	21580
51	1188	21672
52	1213	21684
53	1235	21649
54	1258	21616
55	1278	21558
56	1304	21589
57	1328	21583
58	1352	21574
59	1381	21636
60	1414	21772
61	1444	21847
62	1468	21842
63	1498	21914
64	1529	21995
65	1546	21878
66	1573	21904
67	1606	22018
68	1625	21936
69	1652	21956
70	1681	22003
71	1711	22058
72	1734	22020
73	1753	21943
74	1777	21926
75	1799	21874
76	1806	21651
77	1815	21457
78	1830	21341
79	1849	21268
80	1869	21215
81	1894	21206
82	1915	21166
83	1929	21041
84	1957	21072
85	1982	21073
86	1994	20929
87	2018	20921
88	2039	20880
89	2057	20798
90	2065	20629
91	2087	20605
92	2101	20493
93	2123	20470
94	2147	20456
95	2169	20426
96	2194	20429
97	2218	20418
98	2245	20437
99	2268	20417
100	2294	20418
101	2305	20301
102	2333	20318
103	2360	20336
104	2385	20337
105	2411	20335
106	2425	20244
107	2447	20212
108	2470	20194
109	2487	20127
110	2509	20096
111	2532	20077
112	2558	20080
113	2575	20013
114	2600	20014
115	2625	20006
116	2663	20099
117	2676	20007
118	2710	20068
119	2731	20031
120	2755	20016
121	2779	19999
122	2788	19881
123	2811	19859
124	2838	19871
125	2867	19891
126	2893	19887
127	2905	19796
128	2922	19730
129	2948	19734
130	2962	19653
131	2989	19655
132	3015	19656
133	3041	19655
134	3065	19643
135	3096	19670
136	3121	19663
137	3144	19639
138	3173	19655
139	3197	19641
140	3219	19616
141	3230	19521
142	3253	19500
143	3279	19497
144	3306	19498
145	3319	19417
146	3338	19374
147	3363	19362
148	3395	19392
149	3420	19381
150	3442	19353
151	3464	19328
152	3484	19289
153	3504	19253
154	3526	19224
155	3550	19208
156	3575	19196
157	3597	19170
158	3621	19155
159	3646	19145
160	3671	19135
161	3703	19156
162	3726	19137
163	3751	19125
164	3770	19078
165	3795	19071
166	3808	18998
167	3815	18894
168	3838	18875
169	3848	18789
170	3872	18771
171	3896	18759
172	3925	18767
173	3942	18717
174	3968	18706
175	3995	18705
176	4025	18715
177	4051	18707
178	4073	18682
179	4099	18674
180	4124	18663
181	4148	18646
182	4173	18633
183	4190	18582
184	4201	18510
185	4232	18524
186	4258	18513
187	4282	18494
188	4305	18474
189	4334	18479
190	4339	18380
191	4354	18323
192	4378	18309
193	4400	18283
194	4424	18264
195	4438	18208
196	4468	18212
197	4473	18119
198	4498	18106
199	4527	18110
200	4551	18094
201	4573	18066
202	4597	18051
203	4606	17975
204	4619	17913
205	4637	17874
206	4650	17815
207	4668	17775
208	4686	17737
209	4698	17674
210	4719	17646
211	4741	17623
212	4763	17601
213	4784	17574
214	4793	17503
215	4814	17475
216	4826	17414
217	4849	17396
218	4873	17378
219	4886	17326
220	4908	17302
221	4934	17292
222	4948	17242
223	4976	17239
224	4998	17218
225	5021	17199
226	5045	17182
227	5054	17112
228	5080	17105
229	5106	17095
230	5128	17071
231	5149	17047
232	5178	17047
233	5202	17031
234	5224	17007
235	5248	16989
236	5257	16926
237	5282	16912
238	5302	16883
239	5316	16834
240	5337	16811
241	5361	16792
242	5384	16774
243	5407	16753
244	5415	16689
245	5439	16672
246	5451	16618
247	5472	16594
248	5495	16573
249	5517	16553
250	5540	16534
251	5562	16512
252	5590	16507
253	5615	16491
254	5639	16476
255	5663	16459
256	5679	16419
257	5709	16419
258	5734	16406
259	5756	16383
260	5777	16359
261	5800	16339
262	5827	16331
263	5850	16311
264	5875	16295
265	5899	16279
266	5910	16225
267	5933	16206
268	5957	16189
269	5980	16170
270	5994	16126
271	6019	16109
272	6044	16095
273	6090	16136
274	6113	16118
275	6138	16102
276	6149	16051
277	6172	16030
278	6180	15972
279	6203	15950
280	6229	15940
281	6254	15924
282	6276	15900
283	6297	15877
284	6324	15865
285	6349	15851
286	6355	15788
287	6376	15765
288	6401	15749
289	6422	15725
290	6445	15703
291	6468	15684
292	6490	15661
293	6517	15650
294	6545	15643
295	6571	15628
296	6594	15608
297	6616	15586
298	6640	15568
299	6664	15550
300	6692	15542
301	6721	15535
302	6752	15533
303	6777	15515
304	6801	15498
305	6826	15481
306	6855	15474
307	6879	15456
308	6901	15433
309	6910	15380
310	6935	15365
311	6964	15357
312	6987	15337
313	7012	15320
314	7035	15298
315	7064	15291
